"year","violent","murder","robbery","prisoners","afam","cauc","male","population","income","density","state","law"
1978,13887,236,4097,3245,3.457416,66.48782,18.48919,2515318,11591.41,0.0221776,"Arizona","no"
1979,15629,235,4631,3848,3.473442,66.49958,18.28485,2635570,11804.69,0.0232379,"Arizona","no"
1980,17820,282,5300,3806,3.592809,66.15736,18.0928,2737774,11594.31,0.0241197,"Arizona","no"
1981,16181,228,4991,4496,3.557633,66.35718,17.99499,2810127,11681.17,0.0247571,"Arizona","no"
1982,14941,240,4583,5317,3.588126,66.18365,17.79727,2889865,11295.24,0.0254596,"Arizona","no"
1983,14672,214,3931,6205,3.622587,65.86687,17.58133,2968928,11654,0.0261561,"Arizona","no"
1984,15830,239,4021,6840,3.644696,65.58672,17.30715,3067142,12356.72,0.0270214,"Arizona","no"
1985,19181,255,4664,7863,3.673841,65.33994,17.0261,3183535,12786.21,0.0280468,"Arizona","no"
1986,21778,308,5598,8469,3.72806,65.11162,16.73828,3308262,13146.87,0.0291456,"Arizona","no"
1987,21056,258,4757,9211,3.784642,64.77774,16.45066,3437102,13269.01,0.0302807,"Arizona","no"
1988,21568,300,4843,10853,3.844388,64.44434,16.15664,3535179,13299.39,0.0311448,"Arizona","no"
1989,21719,243,5035,11881,3.903289,63.91225,15.89517,3622176,13304.1,0.0319112,"Arizona","no"
1990,24002,283,5920,12877,3.964251,64.84599,15.65157,3679056,13114.78,0.0323741,"Arizona","no"
1991,25234,293,6234,14109,4.026213,64.48261,15.32617,3762394,12838.55,0.0331074,"Arizona","no"
1992,25942,313,5921,15315,4.067532,64.29301,15.06402,3867333,12873.01,0.0340308,"Arizona","no"
1993,28553,343,6505,16333,4.107062,64.02615,14.84015,3993390,12922.88,0.0351401,"Arizona","no"
1994,29162,435,6719,17835,4.16112,64.19139,14.63248,4147561,13288.13,0.0364967,"Arizona","no"
1995,30730,448,7485,19769,4.210515,64.04899,14.52453,4306908,13494.64,0.0378989,"Arizona","yes"
1996,27990,377,7437,20965,4.258865,63.88958,14.44164,4432308,13722.99,0.0390024,"Arizona","yes"
1997,28392,373,7543,21805,4.313578,64.03395,14.37867,4552207,14146.38,0.0400574,"Arizona","yes"
1998,26972,378,7710,22590,4.317078,63.87193,14.36154,4667277,14745.26,0.04107,"Arizona","yes"
1999,26338,382,7287,24226,4.343524,63.80436,14.36654,4778332,15053.45,0.0420472,"Arizona","yes"
1977,7133,194,1838,2540,5.325915,59.49733,17.29585,2209010,9321.481,0.0425259,"Arkansas","no"
1978,7719,204,1794,2490,5.294712,59.49071,17.09856,2243125,9945.752,0.0431827,"Arkansas","no"
1979,8318,207,1694,2612,5.256688,59.47256,16.902,2271335,9724.736,0.0437258,"Arkansas","no"
1980,7672,211,1852,3021,5.301,59.40872,16.77785,2288738,9171.474,0.0439483,"Arkansas","no"
1981,7116,209,1775,2935,5.363085,59.39111,16.70277,2293195,9386.144,0.0440339,"Arkansas","no"
1982,7449,188,1808,3281,5.396681,59.34017,16.57396,2294262,9238.463,0.0440543,"Arkansas","no"
1983,6864,175,1598,3828,5.412156,59.31244,16.41476,2305754,9476,0.044275,"Arkansas","no"
1984,7456,174,1568,4152,5.429969,59.3006,16.23451,2319774,10127.04,0.0445442,"Arkansas","no"
1985,8089,184,1594,4375,5.448844,59.18848,16.04804,2327044,10430.46,0.0446838,"Arkansas","no"
1986,9207,189,1859,4547,5.453926,59.12255,15.81027,2331990,10666.21,0.0447788,"Arkansas","no"
1987,9651,178,1853,4638,5.468931,59.08031,15.59308,2342359,10685.37,0.0449779,"Arkansas","no"
1988,9902,204,1970,5318,5.485952,58.94504,15.35794,2342638,10959.47,0.0449833,"Arkansas","no"
1989,11115,197,2595,5397,5.507787,58.81361,15.12138,2346387,11091.84,0.0450552,"Arkansas","no"
1990,12530,242,2665,6145,5.545241,61.01876,14.93504,2354343,11055.86,0.0452106,"Arkansas","no"
1991,14065,263,3215,6567,5.603151,60.95456,14.80757,2370666,11151.41,0.0455241,"Arkansas","no"
1992,13802,259,3005,7589,5.660378,60.80524,14.68971,2394098,11661.75,0.045974,"Arkansas","no"
1993,14380,247,3027,8241,5.731631,60.91962,14.56569,2423743,11709.56,0.0465433,"Arkansas","no"
1994,14584,294,3154,8013,5.748989,61.00677,14.45512,2450605,11928,0.0470591,"Arkansas","no"
1995,13720,258,3118,8556,5.777742,60.96267,14.39696,2480121,12129.08,0.0476259,"Arkansas","no"
1996,13125,225,2856,9043,5.83566,60.96302,14.36884,2504858,12345.67,0.048101,"Arkansas","yes"
1997,13299,250,2814,9011,5.884809,61.0488,14.30606,2524007,12561.59,0.0484687,"Arkansas","yes"
1998,12442,201,2442,9950,5.917338,61.09908,14.25316,2538202,12987.42,0.0487413,"Arkansas","yes"
1999,10848,143,2023,10588,5.961927,61.2114,14.17539,2551373,13295.33,0.0489942,"Arkansas","yes"
1977,157808,2571,64151,19000,5.011663,65.51936,18.78835,22352400,14089.08,0.1429538,"California","no"
1978,169648,2672,69901,18269,5.16054,65.27907,18.63814,22835960,14696.3,0.1460464,"California","no"
1979,188637,3023,77631,20466,5.299742,64.99982,18.49175,23256890,14880.71,0.1487384,"California","no"
1980,212684,3451,91443,22135,5.594304,64.43827,18.38397,23800800,14543.06,0.1522774,"California","no"
1981,209588,3157,94278,23800,5.764122,64.16476,18.33019,24285940,14472.68,0.1553813,"California","no"
1982,202209,2780,92355,28295,5.955957,63.59418,18.20489,24820010,14214.77,0.1587982,"California","no"
1983,195932,2663,86452,34236,6.108492,63.02439,18.00803,25360020,14491,0.1622533,"California","no"
1984,197296,2740,84640,38767,6.266548,62.47379,17.79389,25844390,15273.99,0.1653522,"California","no"
1985,202354,2776,86648,42835,6.419227,61.9726,17.58418,26441110,15657.73,0.1691701,"California","no"
1986,249476,3063,92934,49055,6.571936,61.4321,17.35141,27102240,16023.85,0.1734,"California","no"
1987,254994,2944,83693,58888,6.712571,60.96083,17.1327,27777150,16334.12,0.177718,"California","no"
1988,264661,2960,87044,65752,6.850673,60.54552,16.92792,28464250,16598.35,0.1821141,"California","no"
1989,285666,3185,96946,75091,6.997949,60.14187,16.78493,29218160,16674.29,0.1869376,"California","no"
1990,313039,3564,112912,84759,7.156204,60.53821,16.61047,29950110,16679.42,0.1920211,"California","no"
1991,331483,3863,125093,94588,7.26585,59.86163,16.22872,30414110,16099.54,0.194996,"California","no"
1992,345718,3921,130945,98185,7.394206,59.40587,15.9039,30875920,16132.62,0.1979568,"California","no"
1993,335705,4080,126177,105589,7.525185,58.84095,15.59114,31147210,15796.7,0.1996962,"California","no"
1994,317243,3695,111740,115247,7.618953,58.34014,15.29132,31317180,15773.86,0.2007859,"California","no"
1995,304227,3527,104307,120935,7.714913,57.91899,15.08377,31493520,16020.38,0.2019165,"California","no"
1996,274173,2892,93944,132208,7.803103,57.64225,14.95196,31780830,16232.5,0.2037585,"California","no"
1997,257194,2577,81350,143691,7.907242,57.71132,14.88057,32217710,16606.78,0.2065595,"California","no"
1998,229989,2157,68830,155243,8.000757,57.91366,14.87256,32682790,17269.3,0.2095414,"California","no"
1999,207886,1989,60026,160091,8.08967,58.14976,14.91536,33145120,17853.89,0.2125055,"California","no"
1977,13802,170,4602,2346,2.026637,72.37897,20.01816,2696142,12440.15,0.0259829,"Colorado","no"
1978,13778,202,4405,2462,2.081794,72.41429,19.80795,2766748,13047.59,0.0266633,"Colorado","no"
1979,14876,165,4473,2650,2.115095,72.49131,19.576,2849234,13165.71,0.0274583,"Colorado","no"
1980,15376,201,4657,2618,2.207162,72.37984,19.3459,2908803,13068.08,0.0280786,"Colorado","no"
1981,15833,241,4750,2859,2.254344,72.38009,19.03929,2977895,13306.54,0.0287455,"Colorado","no"
1982,15436,184,4611,2817,2.313977,72.21121,18.55973,3061569,13359.24,0.0295533,"Colorado","no"
1983,14929,201,3961,3384,2.368948,71.82253,18.04688,3133628,13570,0.0302488,"Colorado","no"
1984,14512,184,3614,3455,2.424206,71.46875,17.52742,3169987,14146.21,0.0305998,"Colorado","no"
1985,15113,186,3985,3337,2.491744,71.09287,17.11547,3208717,14275.22,0.0309737,"Colorado","no"
1986,16951,227,4688,3335,2.547748,70.60625,16.64707,3237447,14336.75,0.031251,"Colorado","no"
1987,15243,189,3873,3750,2.599251,70.12352,16.22412,3260478,14397.71,0.0314733,"Colorado","no"
1988,15418,186,3223,4730,2.643703,69.71968,15.81841,3262281,14553.97,0.0314907,"Colorado","no"
1989,15442,144,2948,5700,2.698713,69.4189,15.47111,3275821,14894.04,0.0316214,"Colorado","no"
1990,17378,139,2993,6839,2.750993,70.51215,15.20009,3303862,15013.69,0.0318506,"Colorado","no"
1991,18835,199,3617,7038,2.798311,70.5401,14.87783,3367567,14976,0.0324647,"Colorado","no"
1992,20026,215,4169,8615,2.829628,70.58759,14.6569,3459995,15227.37,0.0333558,"Colorado","no"
1993,20201,207,4156,9116,2.879706,70.76588,14.46057,3560884,15520.41,0.0343284,"Colorado","no"
1994,18620,197,3906,9573,2.920543,70.96488,14.28738,3653910,15790.66,0.0352252,"Colorado","no"
1995,16455,217,3596,10803,2.947571,71.1405,14.21173,3738061,16261.71,0.0360365,"Colorado","no"
1996,15422,179,3744,11133,2.973025,71.1972,14.17882,3812716,16656.68,0.0367562,"Colorado","no"
1997,14133,156,3241,12530,3.003526,71.1914,14.20073,3891293,17357.57,0.0375137,"Colorado","no"
1998,14999,183,3235,13574,3.058428,71.09323,14.23766,3968967,18242.02,0.0382625,"Colorado","no"
1999,13811,187,3054,14480,3.094968,71.19784,14.23856,4056133,18856.73,0.0391028,"Colorado","no"
1977,8711,130,3996,1913,2.625869,69.83115,17.53661,3085722,14322.53,0.6346611,"Connecticut","no"
1978,9739,130,4786,1639,2.68661,69.85175,17.44055,3091629,14852.16,0.635876,"Connecticut","no"
1979,12823,130,5984,2167,2.759993,69.8198,17.33737,3095914,15052.21,0.6367573,"Connecticut","no"
1980,12842,146,6787,2148,2.878027,69.61651,17.24054,3113174,15038.75,0.638993,"Connecticut","no"
1981,14020,169,7700,2128,2.987402,69.48974,17.18353,3128839,15196.04,0.6422083,"Connecticut","no"
1982,12540,163,6545,2982,3.083773,69.11452,16.99181,3139012,15379.9,0.6442964,"Connecticut","no"
1983,11859,130,6344,3605,3.172015,68.65659,16.76026,3162343,15799,0.6490852,"Connecticut","no"
1984,12523,124,6058,3625,3.261486,68.23032,16.47208,3180023,16859.22,0.6527141,"Connecticut","no"
1985,12869,122,6082,3809,3.348601,67.74603,16.17114,3201128,17374.54,0.657046,"Connecticut","no"
1986,13727,148,6196,4094,3.435485,67.21826,15.87937,3223737,18214.54,0.6616866,"Connecticut","no"
1987,13606,159,5783,4384,3.523706,66.7266,15.53988,3247291,19201.91,0.6665211,"Connecticut","no"
1988,14900,177,6138,4712,3.617498,66.2566,15.22223,3271958,20213.89,0.6715842,"Connecticut","no"
1989,16804,194,7053,4794,3.704991,65.67208,14.87585,3283409,20714.99,0.6739345,"Connecticut","no"
1990,18212,168,7723,6381,3.790024,67.24413,14.53457,3289056,20372.83,0.6788557,"Connecticut","no"
1991,17749,187,7380,7827,3.877986,66.6134,14.12867,3288640,19636.85,0.6787698,"Connecticut","no"
1992,16221,167,6907,8613,3.949469,66.03352,13.75824,3274997,20330.85,0.675954,"Connecticut","no"
1993,14928,206,6437,8770,4.025792,65.46114,13.45976,3272325,20395.78,0.6754025,"Connecticut","no"
1994,14887,216,6138,10459,4.081422,65.08693,13.17764,3268346,20517.5,0.6745812,"Connecticut","no"
1995,13254,150,5329,10482,4.132952,64.80254,12.9683,3265293,20893.34,0.6739511,"Connecticut","no"
1996,13460,157,5541,10389,4.208807,64.68811,12.81999,3267030,21254.72,0.6743096,"Connecticut","no"
1997,12777,124,4998,10263,4.299477,64.64516,12.72505,3268514,22119.4,0.6746159,"Connecticut","no"
1998,11987,134,4379,12992,4.391971,64.35552,12.7314,3272563,23133.07,0.6754516,"Connecticut","no"
1999,11343,108,4053,12209,4.480762,64.13895,12.77051,3282031,23646.71,0.6774058,"Connecticut","no"
1977,2261,36,929,698,5.74693,64.15755,18.57513,591829,13008.97,0.2986019,"Delaware","no"
1978,2621,40,865,714,5.840172,64.10252,18.42085,594777,13229.42,0.3000893,"Delaware","no"
1979,3197,34,770,1029,5.939507,63.96815,18.25366,594982,13101.23,0.3001927,"Delaware","no"
1980,2825,41,815,1077,6.039646,63.20911,17.99573,594919,13060.83,0.3079291,"Delaware","no"
1981,3033,40,841,1091,6.12362,63.02656,17.87335,595971,13012.81,0.3084736,"Delaware","no"
1982,3354,32,733,1246,6.171387,62.56893,17.69248,599136,13134.26,0.3101118,"Delaware","no"
1983,2743,25,698,1514,6.215406,62.10418,17.44423,605415,13529,0.3133618,"Delaware","no"
1984,2664,25,709,1669,6.255918,61.66697,17.14883,611517,14208.54,0.3165202,"Delaware","no"
1985,2679,30,769,1626,6.296459,61.20521,16.85876,618284,14867.86,0.3200228,"Delaware","no"
1986,2680,31,779,1763,6.34046,60.80499,16.5373,627557,15253.93,0.3248225,"Delaware","no"
1987,2743,32,780,1981,6.404671,60.48524,16.2124,636957,15727.24,0.3296879,"Delaware","no"
1988,2925,34,769,2111,6.478223,60.15025,15.85676,647585,16260.7,0.3351889,"Delaware","no"
1989,3663,34,914,2179,6.554518,59.82942,15.51852,658233,16806.79,0.3407003,"Delaware","no"
1990,4384,33,1103,2228,6.6351,61.46357,15.20903,669063,16486.63,0.3422317,"Delaware","no"
1991,4861,37,1461,2198,6.794319,61.005,14.92472,680495,16332,0.3480793,"Delaware","no"
1992,4287,32,1044,2374,6.956813,60.55497,14.65491,690158,16396.74,0.353022,"Delaware","no"
1993,4798,35,1306,2728,7.09718,60.17885,14.39437,699475,16414.05,0.3577877,"Delaware","no"
1994,4564,33,1145,2791,7.244331,59.73326,14.18362,708416,16484.16,0.3623611,"Delaware","no"
1995,5207,25,1427,2873,7.419685,59.49879,13.96769,718265,16605.71,0.367399,"Delaware","no"
1996,4859,31,1308,3003,7.576778,59.17424,13.79513,727090,16916.4,0.371913,"Delaware","no"
1997,4983,18,1319,3146,7.754169,58.77142,13.67493,735024,17019.75,0.3759713,"Delaware","no"
1998,5673,21,1445,3296,7.950773,58.3795,13.57648,744066,17853.42,0.3805964,"Delaware","no"
1999,5531,24,1491,3233,8.134692,58.07962,13.49182,753538,18359.2,0.3854414,"Delaware","no"
1977,9661,188,6532,2262,25.80589,21.91194,18.15841,677229,15950.09,11.10212,"District of Columbia","no"
1978,9389,186,6249,2195,25.82674,21.99967,18.04598,665051,15964.54,10.90248,"District of Columbia","no"
1979,10457,178,6857,2490,25.86125,22.06764,17.92189,650015,15552.99,10.65598,"District of Columbia","no"
1980,12833,201,8940,2764,25.68026,21.78043,17.60016,638284,14927.52,10.13149,"District of Columbia","no"
1981,14488,224,10414,2713,25.58024,22.42587,17.62946,636894,14828.88,10.10943,"District of Columbia","no"
1982,13464,195,9183,2962,25.38574,22.97488,17.52571,634171,15278.76,10.06621,"District of Columbia","no"
1983,12114,186,7814,3358,25.07103,23.42597,17.24135,632439,15532,10.03871,"District of Columbia","no"
1984,10904,178,6188,3534,24.8133,23.85827,17.01343,633382,16423.83,10.05368,"District of Columbia","no"
1985,10310,149,5302,4118,24.52111,24.20183,16.74339,634543,16831.9,10.07211,"District of Columbia","no"
1986,9608,198,4813,4710,24.27641,24.54855,16.52195,638278,17298.27,10.1314,"District of Columbia","no"
1987,10257,231,4569,4796,24.04692,24.80383,16.23433,636934,17760.13,10.11006,"District of Columbia","no"
1988,12114,375,5785,5705,23.84928,25.05639,15.95927,630430,18894.48,10.00683,"District of Columbia","no"
1989,13369,549,6760,6728,23.58799,25.25086,15.64346,624165,19521.73,9.907381,"District of Columbia","no"
1990,14843,570,7327,6835,23.41714,26.08502,15.29709,603814,20289.77,9.89859,"District of Columbia","no"
1991,14554,578,7211,6810,23.34388,25.52125,14.92299,593239,20517.71,9.725229,"District of Columbia","no"
1992,16549,539,7398,7133,23.30794,25.4095,14.55931,584183,21309.23,9.576771,"District of Columbia","no"
1993,16840,552,7087,7418,22.92985,25.70434,14.05723,576358,21817.18,9.448492,"District of Columbia","no"
1994,15043,495,6255,8752,22.56992,26.08649,13.6392,564982,22003.3,9.262,"District of Columbia","no"
1995,14672,458,6830,9824,22.26011,26.44189,13.2945,551273,21611.43,9.037263,"District of Columbia","no"
1996,13294,493,6388,8882,21.94686,27.00581,12.88547,538273,21844.64,8.824147,"District of Columbia","no"
1997,10703,401,4499,8518,21.79755,27.66836,12.6583,528752,22473.37,8.668065,"District of Columbia","no"
1998,8961,359,3595,8770,21.84068,28.44929,12.41844,521426,22892.34,8.547967,"District of Columbia","no"
1999,8448,341,3344,9928,21.66975,29.27457,12.21368,519000,23399.74,8.508196,"District of Columbia","no"
1977,60824,903,16641,18687,5.08674,60.00757,16.37442,8856183,11524.44,0.1637305,"Florida","no"
1978,69685,1001,18750,20115,5.038732,59.9397,16.13016,9102032,12103.29,0.1682757,"Florida","no"
1979,78605,1150,23509,22529,5.018184,60.12845,15.97145,9426159,12181.99,0.1742681,"Florida","no"
1980,96775,1427,34981,21648,5.078043,59.85242,15.73494,9839835,12149.24,0.1817043,"Florida","no"
1981,98371,1529,35563,21201,5.139825,59.93149,15.72342,10192780,12269.72,0.1882218,"Florida","no"
1982,93908,1414,31163,23456,5.180603,59.84478,15.58158,10471410,12166.25,0.1933671,"Florida","no"
1983,88869,1204,28315,28057,5.210392,59.69122,15.42759,10749840,12637,0.1985088,"Florida","no"
1984,95827,1270,30492,25944,5.222791,59.50279,15.17453,11039920,13199.68,0.2038653,"Florida","no"
1985,106825,1294,35461,27470,5.236619,59.25166,14.92604,11351120,13616.83,0.2096121,"Florida","no"
1986,120934,1365,42796,28819,5.24706,58.90889,14.66731,11667500,14019.51,0.2154544,"Florida","no"
1987,122900,1368,42782,32633,5.271782,58.623,14.38565,11997290,14395.95,0.2215443,"Florida","no"
1988,137549,1403,49632,32612,5.288664,58.21194,14.08954,12306400,14813.31,0.2272523,"Florida","yes"
1989,140203,1403,51056,35133,5.319287,57.87771,13.86584,12637710,15293.13,0.2333704,"Florida","yes"
1990,161987,1393,54261,39966,5.353076,59.33008,13.6879,13018360,15129.51,0.2410942,"Florida","yes"
1991,157388,1249,53131,44653,5.456843,58.97432,13.38398,13289500,14758.16,0.2461155,"Florida","yes"
1992,163030,1215,49549,46456,5.591074,58.52879,13.16867,13504780,14669.31,0.2501023,"Florida","yes"
1993,165386,1221,49040,48683,5.693723,57.94917,12.93066,13713590,14918.23,0.2539695,"Florida","yes"
1994,160114,1159,45906,53613,5.809861,57.54924,12.71791,13961800,15012.48,0.2585662,"Florida","yes"
1995,151926,1036,42542,57593,5.931224,57.33018,12.58249,14185400,15376.85,0.2627072,"Florida","yes"
1996,151627,1082,41723,64488,6.044211,57.11045,12.51724,14426910,15631.16,0.2671799,"Florida","yes"
1997,150299,1013,40541,64460,6.174477,57.02666,12.50534,14683350,15972.74,0.271929,"Florida","yes"
1998,139944,969,36182,65149,6.283623,57.05493,12.50831,14908230,16454.84,0.2760937,"Florida","yes"
1999,129050,861,31975,67547,6.394272,57.11421,12.52576,15111240,16613.04,0.2798534,"Florida","yes"
1977,22956,611,7334,11744,8.995614,55.27949,18.80287,5219699,10227.32,0.0898817,"Georgia","no"
1978,25568,763,8807,11862,9.080371,55.13272,18.61688,5295753,10679.19,0.0911913,"Georgia","no"
1979,30178,924,11543,11667,9.193938,54.98414,18.44075,5401385,10594.58,0.0930103,"Georgia","no"
1980,30465,757,10841,12289,9.368551,54.87352,18.32683,5486174,10245.07,0.094498,"Georgia","no"
1981,30526,958,10936,12195,9.516834,54.79004,18.21969,5568343,10340.76,0.0959133,"Georgia","no"
1982,27017,712,8735,12430,9.618777,54.68195,18.08953,5649793,10375.73,0.0973163,"Georgia","no"
1983,26161,481,8260,14149,9.689654,54.56527,17.91106,5728254,10849,0.0986677,"Georgia","no"
1984,27926,548,8408,15113,9.735667,54.50443,17.67456,5834957,11685.42,0.1005057,"Georgia","no"
1985,30243,620,9791,15145,9.769167,54.40846,17.43874,5962668,12170.42,0.1027055,"Georgia","no"
1986,35753,681,13015,15272,9.778049,54.31058,17.17435,6084660,12716.91,0.1048067,"Georgia","no"
1987,35792,733,12988,16452,9.782475,54.23222,16.87653,6208470,12997.14,0.1069393,"Georgia","no"
1988,42021,739,15386,17812,9.798496,54.05778,16.63891,6316153,13367.59,0.1087941,"Georgia","no"
1989,47173,814,17380,18015,9.818057,53.84161,16.4105,6411085,13492.81,0.1104293,"Georgia","no"
1990,49209,768,17145,19520,9.871989,55.20558,16.19728,6506531,13516.36,0.1123385,"Georgia","yes"
1991,48878,848,17758,21652,10.00728,54.94827,15.89805,6621279,13369.26,0.1143196,"Georgia","yes"
1992,49560,744,16885,23117,10.13363,54.66885,15.64598,6759474,13726.43,0.1167056,"Georgia","yes"
1993,49851,786,17097,25163,10.25108,54.34254,15.38986,6894092,13868.88,0.1190299,"Georgia","yes"
1994,47045,705,15684,27268,10.39586,54.12839,15.14298,7045900,14226.24,0.1216509,"Georgia","yes"
1995,47236,683,14751,32780,10.52201,53.94292,14.94876,7188538,14538.42,0.1241136,"Georgia","yes"
1996,46831,631,15060,34461,10.65336,53.72744,14.80887,7332225,14977.11,0.1265945,"Georgia","yes"
1997,45411,561,15474,34586,10.80586,53.5205,14.71933,7486094,15243.07,0.1292511,"Georgia","yes"
1998,43734,619,14296,36044,10.94355,53.32244,14.67237,7636522,15974.6,0.1318483,"Georgia","yes"
1999,41589,584,12960,39097,11.10859,53.18856,14.62885,7788240,16339.75,0.1344678,"Georgia","yes"
1977,2064,66,1175,358,26.65354,24.28329,20.5375,918257,13737.26,0.1429194,"Hawaii","no"
1978,2516,62,1617,410,26.78969,23.98426,20.36709,931586,13978.14,0.1449939,"Hawaii","no"
1979,2762,69,1759,543,26.94793,23.73469,20.07941,953305,13977.94,0.1483743,"Hawaii","no"
1980,2898,84,1841,561,26.97957,23.51738,19.69567,967710,13918.01,0.1506163,"Hawaii","no"
1981,2422,47,1452,636,25.1352,27.77328,19.52127,978174,13490.66,0.152245,"Hawaii","no"
1982,2541,31,1559,765,25.15592,27.5246,19.04051,993802,13340.66,0.1546773,"Hawaii","no"
1983,2553,57,1317,891,25.01153,27.45545,18.63502,1012717,13880,0.1576213,"Hawaii","no"
1984,2384,34,1191,1059,24.82482,27.2599,18.31653,1027935,14300.61,0.1599899,"Hawaii","no"
1985,2281,43,1033,1289,24.72177,27.02564,17.90892,1039683,14531.72,0.1618184,"Hawaii","no"
1986,2579,50,1118,1409,24.64585,26.86471,17.56933,1051759,14915.78,0.1636979,"Hawaii","no"
1987,2812,51,1047,1516,24.64091,26.72901,17.23383,1067911,15252.78,0.1662118,"Hawaii","no"
1988,2776,43,908,1523,24.6308,26.48869,16.83211,1079823,15906.22,0.1680658,"Hawaii","no"
